1.67072 1.75361 0.0360557 -20
1.39284 1.70558 0.0378616 -21.8931
1.54966 1.76049 0.03321 -23.8857
1.45961 1.85564 0.0351527 -26.4167
1.71419 1.9416 0.0299616 -29.0054
1.53199 2.05426 0.0333256 -32.4606
1.8153 2.11615 0.0280763 -35.2682
1.66421 2.1971 0.0301794 -38.2861
1.91183 2.26337 0.0264813 -40.9343
1.74926 2.35044 0.0288022 -43.8145
1.99406 2.39308 0.0252032 -46.3348
1.90118 2.45846 0.026266 -48.9614
2.07605 2.50766 0.0240638 -51.3678
1.99107 2.57455 0.0250827 -53.8761
2.28884 2.60951 0.0216967 -56.0457
2.06668 2.66354 0.0239216 -58.4379
2.44204 2.69668 0.0200971 -60.4476
2.18805 2.72849 0.0222445 -62.672
2.40593 2.755 0.0200219 -64.6742
2.25611 2.79682 0.0213115 -66.8054
2.59102 2.80017 0.0179755 -68.6029
2.39894 2.83089 0.0195031 -70.5532
2.56833 2.82581 0.0176047 -72.3137
2.56229 2.85651 0.0176475 -74.0785
